line,excerpt,categories,HC,claim,verified,evidence
1671,"($\Delta\mathrm{AIC} = +39.7$; \texttt{output/weibull\_aft.json}),",method_term,H,method_term:weibull; method_term:aft,H,Method: established term
1672,confirming that the log-normal is the appropriate lifetime,method_term,H,method_term:log-normal,H,Method: established term
1673,distribution for this dataset. The log-normal is retained for,method_term,H,method_term:log-normal,H,Method: established term
1676,"full-factorial design, the likelihood-ratio decomposition under",method_term,H,method_term:full-factorial,H,Method: established term
1677,log-normality is structurally equivalent to first-order Sobol',"novelty_claim,method_term",C,novelty_claim:first; method_term:Sobol; method_term:log-normal,C,"Claude: ""first-order"" claim; verify against statistical literature"
1679,Weibull- or Gamma-AFT formulations; and (iii)~Sobol' indices,method_term,H,method_term:AFT; method_term:Weibull; method_term:Sobol,H,Method: established term
1680,cannot be computed on censored data (they require a fully,method_term,H,method_term:censored,H,Method: established term
1681,"observed response), so AFT is not merely a competitor to Sobol'",method_term,H,method_term:AFT; method_term:Sobol,H,Method: established term
1684,(\texttt{output/sobol\_vs\_aft.json}).,method_term,H,method_term:aft; method_term:sobol,H,Method: established term
1687,interpretable and unlikely to be informative in the sense of,novelty_claim,C,novelty_claim:unlike,C,Claude: novelty/gap claim
1690,AFT variance decomposition requires a minimum information,method_term,H,method_term:AFT,H,Method: established term
1691,"content. At 500~N$\cdot$m (130/144 run-out, 90\% censoring),",percentage,H,percentage:90\%,H,Verified: aft_anova.json
1694,"(92/144 run-out, 64\% censoring), the model is identified but",percentage,H,percentage:64\%,H,Verified: aft_anova.json
1700,rule; 2~df) are not. This explains why the bootstrap CIs for,method_term,H,method_term:bootstrap,H,Method: established term
1701,the dominant factors are narrow (Table~\ref{tab:anova}) while,method_term,H,method_term:anova,H,Method: established term
1703,"signal distinguishable from the 64\% censoring noise floor,",percentage,H,percentage:64\%,H,Verified: aft_anova.json
1706,I caution that the narrow bootstrap CIs for the dominant factors,method_term,H,method_term:bootstrap,H,Method: established term
1709,"underlying parameters. At 64\% censoring, the likelihood surface",percentage,H,percentage:64\%,H,Verified: aft_anova.json
1710,may possess shallow local maxima or flat ridges that bootstrap,method_term,H,method_term:bootstrap,H,Method: established term
1711,resampling cannot detect because each bootstrap replicate,method_term,H,method_term:bootstrap,H,Method: established term
1713,"fractions for the three dominant factors (39.1\%, 35.3\%,",percentage,H,percentage:35.3\%; percentage:39.1\%,H,Verified: aft_anova.json
1714,23.5\%) should therefore be interpreted as the best available,percentage,H,percentage:23.5\%,H,Verified: aft_anova.json
1715,"point estimates under the log-normal AFT specification, not as",method_term,H,method_term:AFT; method_term:log-normal,H,Method: established term
1719,the likelihood surface possesses a well-defined global maximum at 64\%,percentage,H,percentage:64\%,H,Verified: aft_anova.json
1721,(MS $>$ Std $>$ Rz) is robust across all bootstrap replicates,method_term,H,method_term:bootstrap,H,Method: established term
1723,curve source ($-0.7$\%) and cumulative damage rule (0.3\%) are,percentage,H,percentage:0.3\%,H,Verified: aft_anova.json
1724,below the noise floor of the 64\%-censored design and should,"percentage,method_term",H,percentage:64\%; method_term:censored,H,Verified: aft_anova.json
1726,\item Quenched-and-tempered steel only. Different materials,material_claim,H,material_claim:Quenched-and-tempered,H,Material: from standards/data sheets
1729,"reported 39.1\% mean-stress contribution applies to an idealized,",percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
1730,residual-stress-free quenched-and-tempered 42CrMo4 gear. In,material_claim,H,material_claim:quenched-and-tempered; material_claim:42CrMo4,H,Material: from standards/data sheets
1735,residual stresses that partially offset it. The 39.1\% figure,percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
1739,across roughness grades. In case-carburized gears---the dominant,material_claim,H,material_claim:case-carburized,H,Material: from standards/data sheets
1757,uninterpretable variance fractions. The bootstrap stability of,method_term,H,method_term:bootstrap,H,Method: established term
1758,the main effects (Table~\ref{tab:anova}) suggests that unmodeled,method_term,H,method_term:anova,H,Method: established term
1764,(Standard~$	imes$~$R_z$) contributes only 2.5\% of the total,percentage,H,percentage:2.5\%,H,Verified: aft_anova.json
1769,most a few percentage points---within the bootstrap confidence,method_term,H,method_term:bootstrap,H,Method: established term
1784,methodological switches through censored-likelihood variance,method_term,H,method_term:censored,H,Method: established term
1787,compliant FKM $K_f$ implementation and digitize the AGMA $J$-factor,"formula_term,standard_claim",H,formula_term:K_f; standard_claim:FKM $K_f$ implementation and digitize the AGMA $J$-factor,H,Formula: from ISO/AGMA/FKM standards
1788,"curves, permitting the first approximation-free, native-formulation",novelty_claim,C,novelty_claim:first,C,Claude: novelty/gap claim
1791,manuscript). It will also extend the factorial design to,method_term,H,method_term:factorial,H,Method: established term
1793,expected to rise substantially above the 0.3\% reported here for,percentage,H,percentage:0.3\%,H,Verified: aft_anova.json
1801,144-combination factorial sweep. The open-source framework released,method_term,H,method_term:factorial,H,Method: established term
1811,I applied a factorial decomposition methodology to quantify,method_term,H,method_term:factorial,H,Method: established term
1813,on a single through-hardened 42CrMo4 spur gear at 700~N$\cdot$m.,material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
1815,simultaneously varies five engineering choices in a full-factorial,"novelty_claim,method_term",C,method_term:full-factorial; novelty_claim:simultaneous,C,Claude: simultaneous-factorial claim; verify scope
1816,"design, handles right-censored run-out data through AFT censored",method_term,H,method_term:censored; method_term:AFT,H,Method: established term
1818,attributable fractions with bootstrap-quantified confidence. For a,method_term,H,method_term:bootstrap,H,Method: established term
1819,quenched-and-tempered 42CrMo4 spur gear under constant-amplitude,material_claim,H,material_claim:quenched-and-tempered; material_claim:42CrMo4,H,Material: from standards/data sheets
1824,\item Mean-stress correction (39.1\%) and size-and-surface factor,percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
1825,formulation (35.3\%) together account for 74.4\% of total,percentage,H,percentage:74.4\%; percentage:35.3\%,H,Verified: aft_anova.json
1826,log-variance. Surface roughness grade (23.5\%) is a clear third,percentage,H,percentage:23.5\%,H,Verified: aft_anova.json
1827,contributor; the three together account for 97.9\%. The S--N curve,percentage,H,percentage:97.9\%,H,Verified: aft_anova.json
1828,"source ($-$0.7\%) and cumulative damage rule (0.3\%, constant-amplitude only) are negligible",percentage,H,percentage:0.3\%; percentage:0.7\%,H,Verified: aft_anova.json
1832,\item The AFT censored-likelihood framework is not merely a statistical,method_term,H,method_term:AFT; method_term:censored,H,Method: established term
1833,refinement---it is a necessity. Ordinary ANOVA and Sobol' sensitivity,method_term,H,method_term:ANOVA; method_term:Sobol,H,Method: established term
1835,"(64\% of the dataset), underestimate the mean-stress contribution",percentage,H,percentage:64\%,H,Verified: aft_anova.json
1836,by 28~pp and misattribute 29\% of variance to the S--N curve,percentage,H,percentage:29\%,H,Verified: aft_anova.json
1837,source. The log-normal AFT specification is validated against,method_term,H,method_term:AFT; method_term:log-normal,H,Method: established term
1838,"Weibull-AFT ($\Delta\mathrm{AIC} = +29.7$), confirming it as the",method_term,H,method_term:AFT; method_term:Weibull,H,Method: established term
1842,is because the two Waterloo datasets share similar fatigue,data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
1852,The cumulative damage rule contributes 0.3\% under,percentage,H,percentage:0.3\%,H,Verified: aft_anova.json
1857,\item Predicted fatigue life spans from $3.3\times10^2$ to,scientific,C,scientific:3.3\times10^2,C,Claude: calculated value; verify against data source
1858,"$5.8\times10^5$ cycles (3.2~dex). A single gear, assessed",scientific,C,scientific:5.8\times10^5,C,Claude: calculated value; verify against data source
1860,failing at $3.3\times10^2$ cycles or surviving beyond $10^6$---depending on,scientific,C,scientific:3.3\times10^2,C,Claude: calculated value; verify against data source
1868,(FKM~+~Goodman~+~as-forged $R_z$) is applying an implicit,standard_claim,H,standard_claim:FKM~+~Goodman~+~as-forged $R_z$) is applying an implicit,H,Standard: from published specifications
1877,"the AFT analysis code---is released as a reusable, auditable",method_term,H,method_term:AFT,H,Method: established term
1880,additional gear geometries remains a priority for future work.,novelty_claim,C,novelty_claim:prior,C,Claude: recommendation claim
1894,"\texttt{fatigue\_models.py}, \texttt{aft\_variance\_decomposition.py},",method_term,H,method_term:aft,H,Method: established term
1897,(\texttt{output/sweep.json}) and AFT variance decomposition results,method_term,H,method_term:AFT,H,Method: established term
1898,"(\texttt{output/aft\_anova.json}, 2000 bootstrap draws, RNG seed~42);",method_term,H,method_term:anova; method_term:bootstrap; method_term:aft,H,Method: established term
1901,executes the entire pipeline (sweep~$\rightarrow$~ANOVA~$\rightarrow$~AFT~$\rightarrow$~multi-torque~$\rightarrow$~figures~$\rightarrow$~audit),method_term,H,method_term:ANOVA; method_term:AFT,H,Method: established term
1907,publicly accessible University of Waterloo SMDIdbase,data_source,H,data_source:Waterloo; data_source:SMDIdbase,H,Verified: Waterloo SMDIdbase is public
1908,(\texttt{https://fde.uwaterloo.ca/Fde/Materials/SMDIdbase/Steel/}).,data_source,H,data_source:waterloo; data_source:SMDIdbase,H,Verified: Waterloo SMDIdbase is public
1916,FKM~7th~ed.) are isolated in \texttt{fatigue\_models.py} and can be,standard_claim,H,standard_claim:FKM~7th~ed,H,Standard: from published specifications
1917,audited independently. The AFT variance decomposition module,method_term,H,method_term:AFT,H,Method: established term
1918,(\texttt{aft\_variance\_decomposition.py}) accepts any,method_term,H,method_term:aft,H,Method: established term
1919,categorical-factor dataset with right-censored observations and is,method_term,H,method_term:censored,H,Method: established term
1920,"directly applicable to other machine elements (shafts, bearings,",method_term,H,method_term:aft,H,Method: established term
1923,uniform $Y_{Sa}$ assumption contributes at most $\pm$3~pp to the,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
